"sent_index","gap","layers","language","that_comp","what","that","filler_effect","err","model"
0,"no-gap","1","English - Wh","no",9.11858868598938,4.47349047660828,4.6450982093811,0.238036462219969,"GPT2"
0,"no-gap","1","English - Wh","yes",9.11858868598938,4.47349047660828,4.6450982093811,0.247471476675754,"GPT2"
0,"no-gap","1","Norwegian - Wh","no",7.14359903335571,2.01007795333862,5.13352108001709,0.291730984871458,"GPT2"
0,"no-gap","1","Norwegian - Wh","yes",7.14359903335571,2.01007795333862,5.13352108001709,0.313951891753621,"GPT2"
0,"no-gap","1","Norwegian - RC","no",9.91427040100098,3.96561431884766,5.94865608215332,0.280870324255448,"GPT2"
0,"no-gap","1","Norwegian - RC","yes",9.91427040100098,3.96561431884766,5.94865608215332,0.294762926786819,"GPT2"
0,"no-gap","2","English - Wh","no",7.51046299934387,3.93317210674286,3.57729089260101,0.182808660142307,"GPT2"
0,"no-gap","2","English - Wh","yes",4.78010416030884,4.18167281150818,0.598431348800659,0.118679819114535,"GPT2"
0,"no-gap","2","Norwegian - Wh","no",6.34860420227051,2.72241377830505,3.62619042396545,0.188918445181316,"GPT2"
0,"no-gap","2","Norwegian - Wh","yes",4.95559406280518,3.14799761772156,1.80759644508362,0.0939291816228446,"GPT2"
0,"no-gap","2","Norwegian - RC","no",8.92755889892578,4.34258317947388,4.5849757194519,0.205003957721418,"GPT2"
0,"no-gap","2","Norwegian - RC","yes",7.58548450469971,3.69954967498779,3.88593482971191,0.159806804732694,"GPT2"
0,"no-gap","3","English - Wh","no",5.83742165565491,4.337566614151,1.49985504150391,0.104219487609725,"GPT2"
0,"no-gap","3","English - Wh","yes",5.15428113937378,4.98079931735992,0.173481822013855,0.0555273440423392,"GPT2"
0,"no-gap","3","Norwegian - Wh","no",9.80976009368896,7.68462324142456,2.12513685226441,0.14209465225012,"GPT2"
0,"no-gap","3","Norwegian - Wh","yes",5.26844310760498,4.51480913162231,0.753633975982666,0.0600942469388593,"GPT2"
0,"no-gap","3","Norwegian - RC","no",9.20810127258301,6.47487640380859,2.73322486877441,0.144706131533571,"GPT2"
0,"no-gap","3","Norwegian - RC","yes",5.65291690826416,4.43307495117188,1.21984195709229,0.0779846590327538,"GPT2"
0,"no-gap","4","English - Wh","no",5.13215398788452,4.51766359806061,0.614490389823914,0.0808716483148791,"GPT2"
0,"no-gap","4","English - Wh","yes",5.35027408599854,5.09533846378326,0.254935622215271,0.0629012497159846,"GPT2"
0,"no-gap","4","Norwegian - Wh","no",8.70443916320801,8.59090328216553,0.11353588104248,0.113362750134899,"GPT2"
0,"no-gap","4","Norwegian - Wh","yes",4.88729619979858,4.8762788772583,0.0110173225402832,0.0592738849972877,"GPT2"
0,"no-gap","4","Norwegian - RC","no",8.53641414642334,8.40976810455322,0.126646041870117,0.120607910883837,"GPT2"
0,"no-gap","4","Norwegian - RC","yes",5.19506645202637,5.18608045578003,0.00898599624633789,0.0631936208903588,"GPT2"
0,"no-gap","5","English - Wh","no",4.8762549161911,4.62651979923248,0.249735116958618,0.0795306315320518,"GPT2"
0,"no-gap","5","English - Wh","yes",5.17531216144562,4.87627255916595,0.299039602279663,0.0587554307708888,"GPT2"
