"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
0,"no-gap","zero-comp",-0.5,-1.91059303283691,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
0,"no-gap","zero-comp",-0.5,0.652711868286133,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"no-gap","zero-comp",-0.5,1.79785919189453,0.149602162815389,"Wh","English","English - Wh","LSTM"
0,"no-gap","decl-comp",-0.5,-0.84027099609375,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
0,"no-gap","decl-comp",-0.5,0.106781005859375,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"no-gap","decl-comp",-0.5,0.997729182243347,0.102262478966382,"Wh","English","English - Wh","LSTM"
0,"no-gap","wh-comp",-0.5,-1.85177040100098,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
0,"no-gap","wh-comp",-0.5,-1.26062679290771,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"no-gap","wh-comp",-0.5,0.390871644020081,0.0700725223257429,"Wh","English","English - Wh","LSTM"
0,"gap","zero-comp",0.5,-2.17138385772705,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","zero-comp",0.5,-2.11305516958237,0.149602162815389,"Wh","English","English - Wh","LSTM"
0,"gap","zero-comp",0.5,-1.72638177871704,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"gap","decl-comp",0.5,-1.93121838569641,0.102262478966382,"Wh","English","English - Wh","LSTM"
0,"gap","decl-comp",0.5,-0.6229567527771,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"gap","decl-comp",0.5,-0.540385246276855,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","wh-comp",0.5,-2.07170343399048,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
0,"gap","wh-comp",0.5,-1.71998643875122,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
0,"gap","wh-comp",0.5,-1.21943819522858,0.0700725223257429,"Wh","English","English - Wh","LSTM"
1,"no-gap","zero-comp",-0.5,0.268701553344725,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
1,"no-gap","zero-comp",-0.5,1.03804969787597,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"no-gap","zero-comp",-0.5,2.6256844997406,0.149602162815389,"Wh","English","English - Wh","LSTM"
1,"no-gap","decl-comp",-0.5,-0.432468414306642,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
1,"no-gap","decl-comp",-0.5,0.00947380065918146,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"no-gap","decl-comp",-0.5,0.605038166046143,0.102262478966382,"Wh","English","English - Wh","LSTM"
1,"no-gap","wh-comp",-0.5,-0.725338935852049,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
1,"no-gap","wh-comp",-0.5,-0.452627182006836,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
1,"no-gap","wh-comp",-0.5,0.403143286705017,0.0700725223257429,"Wh","English","English - Wh","LSTM"
1,"gap","zero-comp",0.5,-4.68209028244019,0.149602162815389,"Wh","English","English - Wh","LSTM"
1,"gap","zero-comp",0.5,-4.34391927719116,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
1,"gap","zero-comp",0.5,-3.32169818878174,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
