"sent_index","gap","layers","language","that_comp","what","that","filler_effect","err","model"
0,"no-gap","1","English - Wh","no",9.59955072402954,5.60043692588806,3.99911379814148,0.220998011175265,"LSTM"
0,"no-gap","1","English - Wh","yes",9.59955072402954,5.60043692588806,3.99911379814148,0.260998836494983,"LSTM"
0,"no-gap","1","Norwegian - Wh","no",8.88180637359619,5.15443181991577,3.72737455368042,0.242287645646323,"LSTM"
0,"no-gap","1","Norwegian - Wh","yes",8.88180637359619,5.15443181991577,3.72737455368042,0.266287061184486,"LSTM"
0,"no-gap","1","Norwegian - RC","no",9.3336181640625,6.05133533477783,3.28228282928467,0.19606634376408,"LSTM"
0,"no-gap","1","Norwegian - RC","yes",9.3336181640625,6.05133533477783,3.28228282928467,0.216514643542688,"LSTM"
0,"no-gap","2","English - Wh","no",9.806307554245,5.73693704605103,4.06937050819397,0.194692431752643,"LSTM"
0,"no-gap","2","English - Wh","yes",6.33549451828003,5.49691390991211,0.83858060836792,0.130731900535268,"LSTM"
0,"no-gap","2","Norwegian - Wh","no",9.07748889923096,5.75462865829468,3.32286024093628,0.206582233962013,"LSTM"
0,"no-gap","2","Norwegian - Wh","yes",5.87789392471313,5.15026664733887,0.727627277374268,0.114940586978305,"LSTM"
0,"no-gap","2","Norwegian - RC","no",9.55253028869629,6.03822994232178,3.51430034637451,0.181632480557247,"LSTM"
0,"no-gap","2","Norwegian - RC","yes",7.95771980285645,5.60342025756836,2.35429954528809,0.12420765621873,"LSTM"
0,"no-gap","3","English - Wh","no",9.8198835849762,5.74926614761353,4.07061743736267,0.180907904238373,"LSTM"
0,"no-gap","3","English - Wh","yes",5.48479866981506,5.37444639205933,0.110352277755737,0.0480490420390125,"LSTM"
0,"no-gap","3","Norwegian - Wh","no",10.0718231201172,7.25876617431641,2.81305694580078,0.197919458145037,"LSTM"
0,"no-gap","3","Norwegian - Wh","yes",6.02881908416748,5.63432693481445,0.394492149353027,0.0558328205239797,"LSTM"
0,"no-gap","3","Norwegian - RC","no",10.062388420105,7.8266749382019,2.23571348190308,0.199841221826459,"LSTM"
0,"no-gap","3","Norwegian - RC","yes",8.00042629241943,6.06589508056641,1.93453121185303,0.11087592312903,"LSTM"
0,"no-gap","4","English - Wh","no",9.22446012496948,5.82194328308105,3.40251684188843,0.205564274161331,"LSTM"
0,"no-gap","4","English - Wh","yes",5.50373244285583,5.40002274513245,0.103709697723389,0.0439027880871188,"LSTM"
0,"no-gap","4","Norwegian - Wh","no",9.71543788909912,7.14654064178467,2.56889724731445,0.178210147445947,"LSTM"
0,"no-gap","4","Norwegian - Wh","yes",5.64952421188354,5.66749143600464,-0.0179672241210938,0.0622924079041279,"LSTM"
0,"no-gap","4","Norwegian - RC","no",10.0740041732788,7.68921136856079,2.38479280471802,0.180530889323031,"LSTM"
0,"no-gap","4","Norwegian - RC","yes",5.90264558792114,5.88045692443848,0.022188663482666,0.0744264250088103,"LSTM"
0,"no-gap","5","English - Wh","no",9.76277923583984,5.87385129928589,3.88892793655396,0.225693646088122,"LSTM"
0,"no-gap","5","English - Wh","yes",5.66687417030334,5.51385831832886,0.153015851974487,0.0430758281410476,"LSTM"
0,"no-gap","5","Norwegian - Wh","no",10.1099510192871,7.5809760093689,2.52897500991821,0.171923421395192,"LSTM"
0,"no-gap","5","Norwegian - Wh","yes",6.05275964736938,5.79988050460815,0.25287914276123,0.0490500426053259,"LSTM"
0,"no-gap","5","Norwegian - RC","no",10.4289703369141,7.81899738311768,2.60997295379639,0.171539001353807,"LSTM"
0,"no-gap","5","Norwegian - RC","yes",5.9912519454956,5.93466377258301,0.0565881729125977,0.0493484614300167,"LSTM"
1,"no-gap","1","English - Wh","no",7.55516290664673,6.58900821208954,0.96615469455719,0.220998011175265,"LSTM"
1,"no-gap","1","English - Wh","yes",7.55516290664673,6.58900821208954,0.96615469455719,0.260998836494983,"LSTM"
1,"no-gap","1","Norwegian - Wh","no",11.8399505615234,6.32527446746826,5.51467609405518,0.242287645646323,"LSTM"
1,"no-gap","1","Norwegian - Wh","yes",11.8399505615234,6.32527446746826,5.51467609405518,0.266287061184486,"LSTM"
1,"no-gap","1","Norwegian - RC","no",10.4511985778809,6.19766616821289,4.25353240966797,0.19606634376408,"LSTM"
1,"no-gap","1","Norwegian - RC","yes",10.4511985778809,6.19766616821289,4.25353240966797,0.216514643542688,"LSTM"
1,"no-gap","2","English - Wh","no",7.20574998855591,6.55753970146179,0.648210287094116,0.194692431752643,"LSTM"
1,"no-gap","2","English - Wh","yes",6.55161237716675,6.52979099750519,0.0218213796615601,0.130731900535268,"LSTM"
1,"no-gap","2","Norwegian - Wh","no",12.2858810424805,10.0088844299316,2.27699661254883,0.206582233962013,"LSTM"
1,"no-gap","2","Norwegian - Wh","yes",7.81110095977783,6.30125379562378,1.50984716415405,0.114940586978305,"LSTM"
1,"no-gap","2","Norwegian - RC","no",14.4088554382324,10.4415559768677,3.96729946136475,0.181632480557247,"LSTM"
1,"no-gap","2","Norwegian - RC","yes",9.80160236358643,6.34494876861572,3.4566535949707,0.12420765621873,"LSTM"
1,"no-gap","3","English - Wh","no",6.7302485704422,6.75403988361359,-0.0237913131713867,0.180907904238373,"LSTM"
1,"no-gap","3","English - Wh","yes",6.6244181394577,6.70661807060242,-0.0821999311447144,0.0480490420390125,"LSTM"
1,"no-gap","3","Norwegian - Wh","no",13.4507484436035,9.97648048400879,3.47426795959473,0.197919458145037,"LSTM"
1,"no-gap","3","Norwegian - Wh","yes",7.05948448181152,6.87915802001953,0.180326461791992,0.0558328205239797,"LSTM"
1,"no-gap","3","Norwegian - RC","no",14.0226078033447,9.7858362197876,4.23677158355713,0.199841221826459,"LSTM"
1,"no-gap","3","Norwegian - RC","yes",7.28095722198486,6.62320804595947,0.657749176025391,0.11087592312903,"LSTM"
1,"no-gap","4","English - Wh","no",6.94401109218597,6.88059747219086,0.0634136199951172,0.205564274161331,"LSTM"
1,"no-gap","4","English - Wh","yes",6.84734916687012,6.75296688079834,0.0943822860717773,0.0439027880871188,"LSTM"
1,"no-gap","4","Norwegian - Wh","no",12.4245910644531,9.87753963470459,2.54705142974853,0.178210147445947,"LSTM"
1,"no-gap","4","Norwegian - Wh","yes",7.25233173370361,6.9451060295105,0.307225704193115,0.0622924079041279,"LSTM"
1,"no-gap","4","Norwegian - RC","no",13.7123880386353,9.97593879699707,3.73644924163818,0.180530889323031,"LSTM"
1,"no-gap","4","Norwegian - RC","yes",6.9184045791626,6.79322814941406,0.125176429748534,0.0744264250088103,"LSTM"
1,"no-gap","5","English - Wh","no",6.6667503118515,6.72640037536621,-0.0596500635147095,0.225693646088122,"LSTM"
1,"no-gap","5","English - Wh","yes",6.62425684928894,6.6297732591629,-0.0055164098739624,0.0430758281410476,"LSTM"
1,"no-gap","5","Norwegian - Wh","no",14.2834157943726,11.5535287857056,2.72988700866699,0.171923421395192,"LSTM"
